TV,Billboards,Google_Ads,Social_Media,Influencer_Marketing,Affiliate_Marketing,Product_Sold
362.64,54.75,754.27,888.38,574.96,324.74,6238.0
251.5,937.55,330.19,277.28,411.96,336.4,6356.0
410.44,608.41,719.84,907.29,84.35,681.15,8806.0
836.78,395.37,26.66,152.38,786.1,738.4,7175.0
60.41,884.67,892.1,576.07,74.29,704.23,8472.0
226.56,802.92,55.51,300.17,6.18,141.23,4279.0
117.94,635.13,238.6,364.03,324.37,497.95,5787.0
590.38,541.99,468.96,559.48,688.64,271.46,6827.0
255.61,637.59,496.61,203.09,614.44,206.61,5235.0
428.43,12.55,145.97,512.33,853.58,196.52,4212.0
149.78,191.97,558.87,172.98,412.79,178.45,3335.0
328.07,782.75,172.69,313.47,124.85,453.17,6026.0
795.28,970.21,968.39,857.64,255.73,149.39,9011.0
72.75,880.44,239.08,949.07,902.65,148.75,7192.0
132.99,757.7,167.64,230.73,297.79,886.06,7282.0
284.0,556.77,96.05,116.79,694.57,559.16,5744.0
36.04,925.81,822.63,531.67,57.51,218.46,6348.0
599.92,832.48,116.6,296.04,970.38,415.97,7425.0
994.4,785.92,159.25,381.83,296.66,892.39,9473.0
36.04,423.25,166.91,222.02,598.43,247.19,3878.0
475.17,380.97,460.06,642.39,220.0,376.2,6144.0
587.02,361.02,694.24,329.66,797.7,313.53,6324.0
781.15,552.75,174.21,601.86,777.93,366.76,7383.0
472.43,114.31,565.1,905.36,405.67,185.11,5620.0
54.08,736.44,997.23,735.75,9.53,71.72,5940.0
274.3,333.08,614.05,620.32,174.87,574.23,6519.0
906.84,187.21,676.99,655.5,321.59,632.86,7964.0
855.78,620.44,763.26,385.05,461.73,58.23,6456.0
269.01,390.09,860.02,944.26,607.55,277.63,7174.0
52.01,177.25,174.17,686.41,618.69,234.05,4278.0
610.15,995.32,757.92,622.36,241.99,910.61,10841.0
387.72,256.08,791.75,40.6,822.03,342.0,5185.0
328.11,183.13,850.23,461.4,345.2,489.56,6005.0
890.01,373.28,623.96,228.75,314.52,224.78,5681.0
167.14,943.57,820.53,455.0,131.76,363.92,7130.0
668.24,798.99,171.95,283.05,546.02,677.84,8078.0
249.8,487.18,922.77,18.49,510.91,837.58,7339.0
188.82,129.27,230.43,464.89,389.11,748.99,5728.0
383.98,654.54,678.22,651.29,415.85,411.91,7529.0
649.53,795.64,533.72,510.37,485.43,608.69,8775.0
519.08,493.1,375.53,579.99,491.61,255.77,6163.0
920.06,668.16,771.18,37.54,107.77,765.11,8281.0
754.81,590.7,655.69,228.98,495.76,821.56,8724.0
936.41,624.97,178.87,99.33,899.69,423.56,7054.0
257.56,524.15,414.8,828.4,544.84,733.99,8366.0
584.41,98.11,55.77,656.0,313.47,972.78,7455.0
191.11,438.26,529.17,479.65,299.81,34.17,4165.0
147.89,256.28,444.81,77.17,736.17,937.95,6559.0
594.03,255.6,411.98,208.8,101.1,723.18,6104.0
626.96,160.57,823.18,650.2,662.36,933.53,9144.0
139.72,831.04,843.23,654.59,325.38,30.01,6176.0
975.65,306.3,835.84,332.31,261.19,435.6,7019.0
811.16,115.99,36.91,48.41,616.23,365.65,4344.0
217.94,588.9,811.95,617.71,922.97,525.86,8175.0
783.39,185.17,997.6,578.32,811.54,119.33,6522.0
524.13,762.87,327.47,236.32,128.59,817.47,7848.0
374.53,344.97,553.3,589.08,649.84,984.5,8816.0
506.05,293.98,145.94,299.63,819.33,20.55,3947.0
111.67,325.81,846.96,823.89,815.57,537.87,7666.0
807.13,127.07,596.9,886.41,618.66,26.23,5957.0
251.03,553.97,571.47,91.9,233.84,205.21,4358.0
314.41,67.43,296.51,728.87,494.04,374.83,5199.0
347.01,103.13,275.4,711.14,23.83,138.33,3779.0
130.31,663.36,865.77,477.86,7.27,122.8,5235.0
46.41,760.8,137.61,493.29,727.95,34.15,4824.0
106.55,181.42,343.32,581.93,664.95,600.27,5934.0
866.83,327.32,20.61,354.38,834.56,638.98,7180.0
143.05,722.7,141.99,953.58,48.53,797.64,8297.0
428.61,610.14,959.11,583.57,524.53,617.94,8683.0
70.41,957.97,459.46,384.3,624.25,325.35,6724.0
981.93,6.37,686.03,398.59,177.39,912.46,7869.0
482.12,964.76,408.23,284.39,497.79,30.48,5897.0
952.76,419.16,154.41,325.73,696.88,839.26,8396.0
671.4,440.07,891.2,496.54,168.1,693.94,8230.0
945.81,130.71,138.81,289.98,113.67,528.82,5476.0
769.35,155.06,481.46,769.67,87.96,132.67,5280.0
810.69,34.08,738.91,962.41,77.52,581.26,7659.0
913.39,157.33,463.79,946.4,13.05,406.3,7006.0
141.9,152.56,943.03,410.78,185.91,661.03,6045.0
4.33,593.79,71.45,454.6,980.12,295.33,5386.0
224.05,637.58,183.57,184.65,264.44,87.95,3765.0
930.75,560.91,727.85,166.23,961.25,919.77,9874.0
479.78,387.17,447.56,226.57,527.56,676.01,6693.0
904.41,309.92,892.82,39.88,675.5,451.65,6797.0
649.56,473.91,390.02,660.73,565.49,978.82,9540.0
811.14,506.9,860.52,123.44,96.87,189.13,5606.0
858.89,724.24,890.81,472.84,74.94,662.99,9156.0
642.89,203.27,769.51,475.05,732.54,150.62,5729.0
978.38,847.76,438.63,151.49,155.02,6.74,5735.0
560.02,772.26,349.56,996.16,360.7,757.59,9901.0
237.2,299.47,798.66,268.19,100.13,828.94,6667.0
461.89,638.91,566.4,48.0,677.84,907.75,8248.0
928.46,525.72,584.62,709.57,351.45,392.49,8098.0
529.95,191.3,89.94,28.84,507.41,256.91,3473.0
723.93,437.97,54.43,877.91,454.95,791.16,8753.0
502.27,606.1,113.8,589.36,359.02,878.2,8391.0
152.72,72.9,746.8,295.79,708.24,274.36,4333.0
920.76,365.45,142.95,416.52,875.27,365.21,6708.0
48.31,555.19,305.47,753.44,174.5,139.46,4878.0
622.53,104.12,565.1,584.88,332.65,574.3,6561.0
781.27,786.72,132.53,557.25,486.25,619.96,8574.0
44.77,462.32,137.03,466.47,897.51,546.68,6110.0
777.1,202.09,699.92,244.74,471.08,920.77,8088.0
945.34,825.89,772.2,677.43,401.26,837.18,11062.0
993.92,283.52,528.13,578.7,529.23,80.86,6026.0
867.03,842.62,524.35,861.16,57.55,833.93,10585.0
808.06,485.57,974.78,811.9,103.54,436.0,8429.0
838.61,472.36,451.52,852.62,34.9,664.99,8609.0
993.84,276.72,405.45,334.76,95.3,398.06,5970.0
178.84,213.36,752.21,42.51,156.04,419.79,4089.0
380.57,108.41,592.38,723.51,524.08,177.85,5132.0
858.69,922.49,694.91,121.48,368.16,788.05,9431.0
696.38,590.16,651.28,202.29,51.87,956.28,8533.0
408.35,581.63,205.67,712.51,102.98,534.6,6912.0
265.94,768.47,756.8,891.25,481.1,179.55,7495.0
480.67,135.75,82.66,217.72,217.9,15.41,2353.0
746.29,925.8,988.98,229.34,282.95,449.15,8488.0
640.69,966.63,624.12,948.97,480.16,651.31,10655.0
990.33,642.99,823.74,986.35,422.92,14.64,8169.0
384.82,879.57,735.47,872.34,371.94,41.79,7308.0
355.88,450.45,883.78,362.08,757.46,403.82,6828.0
958.24,771.17,69.46,868.58,649.5,773.38,10387.0
40.81,863.64,580.23,852.48,548.47,725.71,9244.0
225.69,971.12,357.07,932.19,165.56,307.4,7656.0
138.83,389.62,804.53,587.2,436.57,95.75,5029.0
79.68,657.09,738.08,360.38,145.03,827.38,7617.0
594.84,79.44,172.14,622.86,795.0,909.79,7850.0
947.72,653.82,879.45,979.08,304.11,92.45,8366.0
708.03,846.72,425.3,555.71,208.48,144.39,6814.0
770.05,501.36,694.6,172.26,572.26,410.56,6851.0
512.38,250.83,373.78,366.95,987.14,509.03,6477.0
998.1,858.75,781.06,60.61,174.63,213.53,6949.0
322.35,681.22,640.29,343.65,534.22,648.71,7737.0
476.45,884.77,301.79,802.3,434.82,401.69,8187.0
288.67,456.29,745.82,431.15,689.14,528.11,6748.0
410.23,722.57,143.45,837.32,296.67,150.28,5891.0
543.98,651.09,960.74,729.18,305.86,932.61,10012.0
698.45,312.86,875.36,114.52,592.21,708.84,8923.0
129.72,587.94,329.57,753.47,361.01,479.67,6743.0
214.39,448.75,697.49,281.77,369.28,603.18,7568.0
802.36,864.71,572.47,325.04,943.29,781.62,9461.0
543.17,490.92,712.35,920.04,788.41,432.66,9042.0
715.84,635.23,497.28,603.16,811.25,360.89,7135.0
372.17,154.36,648.63,793.14,854.68,280.79,6790.0
134.58,460.79,586.21,460.89,236.56,884.67,5479.0
785.45,317.48,556.11,401.89,619.26,650.53,8156.0
689.42,207.14,461.58,244.39,590.63,832.49,7480.0
490.71,623.91,887.48,761.02,462.14,93.37,7546.0
382.23,208.67,270.31,588.15,639.82,874.29,7132.0
621.39,482.51,776.02,629.94,925.14,743.89,10033.0
489.65,562.31,147.86,756.21,456.19,217.66,6099.0
775.94,936.27,596.83,322.58,874.27,629.36,9608.0
648.09,754.21,341.67,897.83,175.48,618.92,7323.0
153.68,845.64,375.59,392.8,854.91,135.08,6664.0
567.38,650.77,105.06,724.99,389.76,213.52,5843.0
239.11,521.42,649.17,720.85,678.13,231.54,5562.0
496.47,723.85,428.21,892.34,605.73,173.09,7535.0
315.64,699.91,689.24,331.55,433.14,356.22,6827.0
567.28,134.73,628.46,512.61,876.51,635.23,8057.0
812.18,503.21,774.99,904.64,678.92,437.41,9469.0
469.71,246.09,582.23,226.84,488.36,284.99,5527.0
348.78,654.21,695.42,245.09,599.61,397.18,6811.0
725.94,377.24,824.63,953.77,276.94,597.11,8563.0
671.82,889.14,493.86,764.22,197.13,776.34,9282.0
275.16,548.92,829.76,552.67,379.98,289.76,6087.0
682.54,612.76,107.59,716.33,425.71,975.64,8322.0
321.77,409.34,730.66,371.62,758.19,644.08,7683.0
449.66,319.11,795.98,564.83,768.77,926.13,9748.0
525.13,675.98,482.01,803.65,798.29,554.11,8746.0
894.47,723.34,891.56,789.12,146.85,432.77,7089.0
437.14,189.74,492.14,423.27,876.23,341.88,6367.0
125.67,379.76,368.02,543.34,775.09,865.61,7821.0
356.19,688.94,539.64,212.45,159.67,793.41,6478.0
671.46,840.72,586.43,347.51,103.58,734.19,7543.0
564.23,317.98,543.71,587.61,369.12,657.84,7398.0
906.23,506.18,623.37,723.46,756.93,124.62,7512.0
158.62,593.28,490.43,847.77,296.58,320.57,5802.0
482.91,345.09,596.78,474.62,617.53,479.23,6248.0
789.63,361.88,287.15,408.78,830.72,414.46,6632.0
924.37,422.64,193.87,238.32,843.71,695.28,8431.0
139.89,508.42,593.78,685.13,245.91,925.89,7345.0
576.92,218.17,778.14,982.15,576.33,567.88,10248.0
287.84,865.34,503.42,642.81,921.36,369.77,9012.0
542.39,785.56,278.37,854.62,405.37,831.46,8727.0
413.79,667.92,952.56,493.23,326.43,659.08,8102.0
432.11,234.89,123.56,420.32,156.78,890.21,8201.0
569.28,410.77,765.49,321.87,689.44,377.62,6834.0
185.73,706.22,659.31,459.12,580.39,675.48,7522.0
654.92,112.46,398.88,189.04,312.76,746.19,6038.0
389.64,288.17,507.09,632.73,295.08,881.57,9123.0
799.27,675.39,178.41,490.32,822.01,291.34,7456.0
543.17,512.84,303.22,280.15,491.07,172.88,6527.0
672.09,345.67,287.56,125.49,367.21,720.93,4521.0
458.88,799.56,650.34,698.12,124.37,419.88,8067.0
321.49,632.01,420.72,287.33,708.19,873.47,9402.0
823.64,421.89,905.22,745.36,536.91,622.74,10839.0
917.22,788.37,102.43,680.28,301.65,890.21,10250.0
267.51,632.56,509.37,301.79,746.56,345.11,6489.0
752.63,529.15,258.12,120.67,909.72,119.45,5177.0
491.26,176.34,832.67,421.01,654.39,589.41,7888.0
245.67,423.56,479.12,189.78,285.67,370.98,5281.0
145.09,632.77,701.88,708.49,732.22,431.98,7589.0
899.12,746.31,320.14,582.33,124.57,218.91,6422.0
937.64,195.68,576.87,121.33,832.45,678.34,7298.0
109.77,722.48,318.69,52.14,493.22,850.21,6803.0
787.43,852.17,670.88,409.28,143.29,124.56,6093.0
156.21,503.88,599.42,180.45,757.32,923.66,7239.0
609.12,143.78,219.67,189.74,169.45,613.22,4912.0
398.64,281.09,65.43,890.67,301.22,754.55,6589.0
178.67,566.88,712.34,823.09,692.13,492.65,8564.0
719.34,623.45,487.33,643.98,378.21,729.67,8456.0
290.31,386.11,705.92,759.88,201.34,482.18,5687.0
142.33,508.76,132.91,689.22,612.44,325.67,6012.0
256.88,640.77,912.98,459.76,831.09,870.56,8899.0
768.42,178.44,209.87,632.21,408.54,123.88,5111.0
510.22,323.77,145.88,214.77,341.22,640.89,4898.0
876.67,693.45,524.77,798.12,689.44,322.67,7655.0
748.89,640.11,120.56,510.32,732.21,429.88,7043.0
384.76,511.23,615.98,875.43,341.12,795.67,9787.0
587.23,189.67,740.22,289.12,678.56,532.77,8243.0
319.12,210.44,509.32,430.67,221.55,820.34,6567.0
676.44,643.88,422.88,760.77,209.88,672.43,7155.0
511.89,408.22,561.67,889.12,674.88,531.45,8821.0
588.45,332.11,768.56,121.44,389.88,189.22,5112.0
764.22,195.67,123.88,360.32,808.11,870.76,7922.0
420.12,569.21,320.88,697.44,501.88,220.77,7544.0
682.11,721.88,876.77,543.22,697.32,497.66,9288.0
309.88,510.56,712.21,765.32,498.88,321.45,7755.0
231.44,678.77,899.32,208.88,612.44,388.77,6411.0
873.32,234.67,563.21,401.88,789.44,683.67,8023.0
421.88,449.22,564.77,334.88,689.77,710.45,7334.0
599.22,789.88,831.32,450.88,398.44,561.89,8721.0
784.33,500.67,958.88,635.22,786.44,462.11,9311.0
290.67,321.88,640.56,765.22,409.77,688.45,6211.0
